City ,Confirmed Covid Case Numbers
Beni Amrane,543405
Makouda,192224
Tadmaït,70208
Amoucha,226855
Naciria,51521
Kadiria,17025
Djinet,111763
Beni Douala,385828
Thenia,6326
Tizi-n-Bechar,28519
’Aïn el Hammam,22713
Aomar,69291
Tala Yfassene,581880
Reggane,6964
Arbaoun,1671742
Tirmitine,109
Timoktene,1004
Beni Fouda,536911
Tizi Rached,53081
Aïn Zaouïa,137314
Sidi Daoud,2340
Azeffoun,22855
’Aïn Abessa,123905
Tichi,7679
Chorfa,82262
Bordj Mokhtar,83145
Ouadhia,22635
Boudjima,880466
Tizi-n-Tleta,341290
Aït Yaïch,63649
Djanet,10974
Iflissen,26778
Abadla,403623
Takerbouzt,34173
Moudjbara,52213
Afir,21037
Mechtras,270962
Sali,124
Arhribs,28764
Iferhounene,5774
Si Mustapha,19170
El Adjiba,492181
Yakouren,1010166
Tigzirt,49091
Bechloul,32041
’Aïn Roua,60364
Charouine,25083
Bir Ghbalou,38021
Sidi Namane,26291
Beni Abbès,638818
Ben N’Choud,1059
Bordj Okhriss,38666
Ben Nasseur,178317
Souama,2491
Bou Nouh,704173
Toudja,129509
Ouled Rached,12519
Ifigha,100788
Seddouk Oufella,1612
I-n-Amenas,66128
Abalessa,108201
Boukhralfa,27072
Tifra,143581
Amalou,248
Taourga,130041
Beni Aïssi,40137
Souk el Had,38334
In Guezzam,394360
Aït Bou Madhi,58177
El Maïn,66736
Beni Ounif,70734
Tassamert,3788713
I-n-Amguel,95043
Pago Pago,418600
Andorra la Vella,10174
Escaldes-Engordany,56226
Encamp,30178
La Massana,951083
Sant Julià de Lòria,18219
Ordino,20248
Canillo,192347
Luanda,230600
Huambo,611008
Lubango,33920
Cabinda,581
Belas,796885
Lobito,67073
Saurimo,5829
Cubal,59740
Uíge,4065
Menongue,12272
Vila Teixeira da Silva,61657
Sumbe,80553
Caála,56642
Matala,79181
Moçâmedes,967645
Ganda,11413
Catumbela,36919
Catape,55547
Ndalatando,11361
Lucapa,598
Benguela,767
Negage,25682
Porto Amboim,657832
Chinguar,68802
Catabola,11894
Malanje,542405
Ondjiva,347341
Cassongue,37357
Cuito,62703
Quilengues,43287
Mbanza Kongo,159489
Caxito,12271
Luena,62115
Dundo,10214
Luau,33517
Capenda Camulemba,26484
Soio,108770
Cuito Cuanavale,1424646
Porto Alexandre,0
Mavinga,49
Caluquembe,48898
Longonjo,404190
Camacupa,133123
Ambriz,89146
Camabatela,33459
Uacu Cungo,34205
Nzeto,121644
Songo,2709
Quibala,383503
Dondo,3910803
Chibemba,479996
Chibia,75693
Xangongo,63
Cazombo,712
Quipungo,80625
Muconda,36282
Cangamba,2320818
Cacolo,23763
Calulo,18860
Calenga,42939
Tchitado,106964
The Valley,620
Saint John’s,1038
Buenos Aires,33916
Córdoba,4570
Rosario,126622
Comodoro Rivadavia,194
San Miguel de Tucumán,35512
Mar del Plata,183790
Salta,1123343
San Juan,4293
Lanús,8518
Florencio Varela,5572
Santa Fe,154419
Corrientes,606874
San Salvador de Jujuy,3939
Bahía Blanca,13
Resistencia,103
Posadas,37
Santiago del Estero,38476
Paraná,16517
Merlo,1753
González Catán,8156
Quilmes,131934
Neuquén,2432
Banfield,275
José C. Paz,3010
Formosa,41104
Isidro Casanova,147
La Plata,805617
Godoy Cruz,7797
Berazategui,188
La Rioja,156458
San Luis,40207
San Miguel,76167
José María Ezeiza,753937
San Nicolás de los Arroyos,36124
Catamarca,1317
Rafael Castillo,1612
Río Cuarto,1314
Concordia,286463
San Justo,38950
Ituzaingó,188604
Temperley,10545
Ramos Mejía,37386
Lomas de Zamora,11837
San Martín,14557
Mendoza,32073
Tandil,68159
Puerto Madryn,58395
Bernal,1051
Castelar,39715
San Carlos de Bariloche,9700
Esteban Echeverría,52191
Villa Mercedes,192012
Gualeguaychú,1380978
San Rafael,743338
Morón,15754
La Banda,387
Villa Luzuriaga,371331
Caseros,69651
Santa Rosa,3717
Libertad,81116
Burzaco,1592
Berisso,86136
Ciudad General Belgrano,36164
San Francisco Solano,1427
Río Gallegos,87048
Monte Chingolo,286684
Remedios de Escalada,12307
Ezpeleta,4494
Lomas del Mirador,336240
Bella Vista,726
Wilde,937
Villa Domínico,573
Los Polvorines,42452
Rafael Calzada,71816
Viedma,24299
Ushuaia,1992
Longchamps,3285
Villa Alsina,33435
San Isidro,23757
José Mármol,20793
Haedo,35576
Munro,14671
Dock Sur,61207
Villa Adelina,315331
Villa Celina,20419
Adrogue,47142
Rawson,2567449
Avellaneda,36864
Vicente López,458275
Tapiales,2494385
Don Bosco,52485
Villa Sarmiento,23087
Aldo Bonzi,57404
Malvinas Argentinas,146604
Zárate,34700
Trelew,87901
Rafaela,132170
Pergamino,206278
Campana,124996
Olavarría,43824
Junín,20266
Pilar,1426
Presidencia Roque Sáenz Peña,44080
Luján,21461
General Roca,48237
Gobernador Gálvez,73319
Necochea,21641
Villa María,6224
Venado Tuerto,21309
San Ramón de la Nueva Orán,38321
Concepción del Uruguay,15738
Goya,35886
Reconquista,77218
Las Heras,30749
Oberá,18448
Santo Tomé,7631
Villa Carlos Paz,55184
San Francisco,341494
Sarandí,45059
Tartagal,425
Chajarí,128103
San Pedro,102677
Punta Alta,878346
General Pico,59629
Azul,113085
Chivilcoy,31557
Mercedes,834527
Cruz del Eje,39963
Caleta Olivia,76835
El Talar de Pacheco,38703
Villaguay,470685
Libertador General San Martín,26060
La Reja,30859
Alta Gracia,135811
San Lorenzo,51
Villa Constitución,777349
Tres Arroyos,13113
Río Tercero,714616
Pinamar,8454
Esperanza,27698
Gualeguay,69705
Balcarce,5713215
Aristóbulo del Valle,67658
Granadero Baigorria,48850
Esquel,50499
Nueve de Julio,289670
Cutral-Có,102551
Casilda,13496
Chacabuco,11789
Centenario,459528
Bell Ville,706783
Chilecito,402936
Bragado,287157
La Calera,83826
Plottier,20176
Zapala,43829
Jesús María,34448
Río Grande,9098
Victoria,52414
Villa Ángela,569995
Villa Regina,250093
Villa Gesell,991941
Capitán Bermúdez,48282
Cañada de Gómez,4872
Baradero,1564200
Villa Allende,601105
San Martín de los Andes,317407
Marcos Juárez,606075
Dolores,8885
Firmat,3020
Colón,11988
Lincoln,13579
Coronel Suárez,111785
Veinticinco de Mayo,20
Allen,24553
Tunuyán,20906
Cinco Saltos,33549
Deán Funes,1173637
El Calafate,269709
Chascomús,112926
Pico Truncado,51265
Sunchales,68370
Laboulaye,21371
Brandsen,4767
General Martín Miguel de Güemes,2877
Río Segundo,58543
Vera,7754
Rufino,62822
Unquillo,62232
Charata,12170
Lobos,223304
Coronda,1106
General Juan Madariaga,323748
General Deheza,2191
Santa Elena,128
Catriel,98699
Eldorado,1015889
Ayacucho,202821
Santa María,5585
Federación,2101055
La Falda,1302
Carcarañá,257956
San Antonio Oeste,3184
Villa del Rosario,76
Villa Paranacito,117825
Fray Luis A. Beltrán,266579
Carmen de Areco,272379
Ceres,804733
San Cristóbal,24556
Puerto Deseado,60886
Añatuya,1001154
Mar de Ajó,109915
La Quiaca,16986
San Javier,122575
Frías,183
Joaquín V. González,173
Puerto San Martín,127
Plaza Huincul,5530
Oncativo,30913
Chos Malal,43190
Rosario del Tala,29947
San Salvador,124233
Junín de los Andes,648
La Carlota,56389
Laguna Paiva,47205
Las Parejas,139409
Malargüe,747143
Cafayate,1101557
Río Colorado,3333
Oliva,7292
Cerrillos,16689
Coronel Dorrego,452777
Monte Quemado,47378
Humahuaca,537138
Belén,31602
Capilla del Monte,201005
Armstrong,35566
Villa La Angostura,44130
Sarmiento,99416
Benito Juárez,41618
Frontera,107545
Corral de Bustos,72844
Leones,45389
San José de Feliciano,197812
Choele Choel,516277
Castelli,328771
Embalse,1089777
Rada Tilly,14096
Chamical,1202912
Yacimiento Río Turbio,47128
Jesús Nazareno,57275
Mina Clavero,478902
Helvecia,271228
San Julián,359915
Villa General Belgrano,77582
Santa Rosa de Río Primero,76873
Lamarque,2956
Las Lomitas,44312
Carhué,200
General Fernández Oro,37716
Rinconada,102896
Ingeniero Guillermo N. Juárez,85136
Comandante Luis Piedra Buena,138579
Villa Cura Brochero,250187
Trevelín,562831
Ingeniero Jacobacci,339073
Ingeniero Luis A. Huergo,32245
Veintiocho de Noviembre,11822
Chepes,18
Villa Huidobro,369728
General Conesa,1618
San Antonio de los Cobres,69137
Macachín,43520
Los Menucos,26868
Perito Moreno,936162
Gobernador Gregores,0
Abra Pampa,13
Victorica,24901
La Paz,152582
Comandante Fontana,151743
El Maitén,267081
Pampa del Infierno,1082746
Río Mayo,858949
Chumbicha,62422
Trancas,78068
Alto Río Senguer,228985
Sierra Colorada,103222
Las Lajas,93835
Susques,29169
Comallo,40711
Rodeo,283612
Gastre,98406
Tinogasta,2507
Telsen,1005
Pedro Luro,4
Monte Cristo,438038
Justiniano Posse,25
Senillosa,43638
Laguna Larga,38256
Sierra Grande,22955
Río Primero,64617
General Levalle,5436
Perugorría,64232
Bialet Massé,43845
Darregueira,965277
Villalonga,131547
Uspallata,3254893
Villa Rumipal,62502
Los Blancos,56613
Yerevan,46464
Gyumri,63017
Vanadzor,234895
Hrazdan,233932
Kapan,14848
Armavir,616
Ashtarak,883
Artashat,2093
Gavarr,253
Ijevan,5041
Kasakh,552
Yeghegnadzor,8326
Ejmiatsin,1025
Abovyan,225203
Charentsavan,14907
Stepanavan,39158
Sevan,316752
Ararat,2411
Goris,153662
Artik,30960
Dilijan,75182
Spitak,25397
Sisian,752
Vedi,592912
Alaverdi,124162
Vardenis,1915
Martuni,54710
Yeghvard,251285
Nor Hachn,34809
Metsamor,76814
Berd,89101
Vardenik,68240
Akhuryan,25161
Ayntap,59573
Parakar,32741
Tashir,2039716
Byureghavan,36665
Garrni,234
Nor Kharberd,21423
Jermuk,574026
Jrvezh,862401
K’ajaran,69375
Zolakar,2952861
Metsavan,127481
Sardarapat,393
Aparan,1
Karmir Gyukh,19921
Arrinj,177464
Nor Geghi,6313
Geghahovit,1630
Yeranos,160315
Mrgashat,75296
Oshakan,32808
Chambarak,241012
Azatan,466
Aragatsavan,1865
Vayk,50739
Gugark,40032
Maralik,16531
Lichk,2412
Arzakan,42010
Odzun,36673
Noyemberyan,15951
Zovuni,31172
Nalbandyan,34026
Prroshyan,55767
Malishka,56314
Oranjestad,20219
Tanki Leendert,54
Sydney,0
Melbourne,5126
Brisbane,0
Perth,8
Adelaide,0
Canberra,0
Gold Coast,3882
Cranbourne,0
Newcastle,0
Wollongong,0
Geelong,39789
Hobart,405851
Townsville,125577
Ipswich,1688152
Cairns,327112
Darwin,11567
Toowoomba,266414
Ballarat,97830
Caloundra,18454
Campbelltown,22909
Leopold,26417
Corinda,27122
Bendigo,186844
Launceston,1528
Mackay,423117
Rockhampton,61482
Maitland,24200
Bunbury,1772
Coffs Harbour,20593
Bundaberg,70474
Wagga Wagga,3442
Hervey Bay,675165
Shepparton,33442
Albury,59618
Port Macquarie,46023
Pakenham,61187
Tamworth,84672
Orange,2612
Dubbo,212672
Bathurst,445
Geraldton,40604
Sunbury,435849
Nowra,1354956
Frankston,95724
Warrnambool,161287
Queanbeyan,1017
Wodonga,674003
Albany,60144
Gladstone,980
Mildura,1963
Southport,2903
Dandenong,39063
Alice Springs,1541
Mount Gambier,40903
Kalgoorlie,39748
Lismore,84
Quakers Hill,352
Ballina,43126
Taree,30758
Gawler,61611
Maryborough,102641
Caboolture,29147
Traralgon,1364
Armidale,87550
Busselton,391559
Goulburn,69130
Cessnock,132285
Devonport,128198
Whyalla,13693
Bacchus Marsh,33944
Gympie,1259
Griffith,3702422
Grafton,222513
Kwinana,643709
Burnie,333559
Yeppoon,11684
Wangaratta,232425
Mount Eliza,796343
Murray Bridge,4009
Narangba,391637
Mount Isa,12791
Broken Hill,8058
Banora Point,1503
Nerang,364570
Lara,203839
Horsham,53771
Mount Barker,241
Port Lincoln,418106
Karratha,13424
Singleton,143486
Warwick,4669
Echuca,30122
Ulladulla,28237
Kempsey,77982
Ulverstone,7085
Barwon Heads,4927
Australind,3879
Sale,11658
Rochedale,31386
Port Pirie,314102
Morwell,355617
Warragul,138899
Broome,72307
Port Augusta,1660481
Penrith,278396
Forster,712
Goonellabah,11523
Port Hedland,188
Torquay,289288
Emerald,423165
Gisborne,259540
Lithgow,73246
Rutherford,8476
Bowral,4022
Jimboomba,129297
Colac,18587
Dalby,270944
Raymond Terrace,360
Esperance,92244
Muswellbrook,5588981
Nelson Bay,24365
Inverell,5990
Parkes,341894
Drouin,93775
Swan Hill,398898
Nambour,161
Somerville,252929
Kingston,23110
Casino,3760
Mudgee,16724
Mareeba,14037
Batemans Bay,27
Gracemere,236451
Samford,803567
Portland,6555
Young,1803361
Kingaroy,2886111
Kangaroo Flat,1190351
Mount Evelyn,254870
Bentley,839433
Cowra,47195
Hamilton,48288
Bowen,734659
Andergrove,438619
Moree,170041
Gunnedah,2
Leeton,106946
Mittagong,305583
Tweed Heads,103866
Benalla,1905
Emu Plains,132612
Wallan,539888
Currumbin,10825
Bli Bli,2179
Moss Vale,184815
Clifton Springs,3006
Katoomba,273346
Wollert,69830
Kelso,9
Merrimac,41184
Ayr,34323
Charters Towers,549514
Rye,61844
Moe,14262
Deniliquin,30526
Darley,4
Moranbah,19407
Forbes,1356
Springwood,1
Highfields,255060
Innisfail,2503
Mooroopna,56621
Narrabri,99518
Kingscliff,518458
Lesmurdie,70697
Kilmore,54268
Yarrawonga,549111
Bargara,2670
Kiama,7324
Bongaree,5406
Sanctuary Point,166254
Kyabram,155217
Healesville,124410
Melton,213784
Burpengary,376854
Narre Warren North,15772
Mandurah,348184
Kyneton,1209154
Fremantle,2870595
Collie,847604
North Tamborine,216885
Murwillumbah,1077161
Cootamundra,26878
Bairnsdale,68
Urraween,5035
Castlemaine,2014
Blaxland,3
Lennox Head,5089
Bomaderry,2344
Atherton,447178
Tuncurry,41296
Strathalbyn,711772
Seymour,11145
Cannington,4140
Wauchope,61970
Helensburgh,389440
Yass,253140
Gatton,20
Kurri Kurri,14647
Cooma,1654551
Nuriootpa,139431
Tumut,10688
Cannonvale,177711
Point Vernon,35289
Nambucca Heads,14305
Wynyard,693023
North Mackay,24410
Roma,7315
Stawell,13308
Beerwah,509
Northam,147039
Mount Cotton,6622
Alstonville,13432
Margaret River,22620
Glen Innes,341952
Yamba,5228322
Waterford,45231
Gordonvale,565451
Kiama Downs,282198
Pottsville,99580
Chinchilla,4
Lysterfield,230147
Cooranbong,6396
Wentworth Falls,307569
Scone,6723
Beaudesert,94430
Dromana,38918
South Grafton,73917
Kununurra,82149
Naracoorte,14654
Corowa,26492
Woolgoolga,46543
Goondiwindi,755
Cobram,543405
Maffra,191354
Tahmoor,70208
Woodend,226449
Inverloch,51463
Whittlesea,17005
Richmond,111524
New Norfolk,384997
East Ballina,6325
Biloela,28457
Worragee,22696
Wingham,69082
Leongatha,581880
Palmwoods,6936
Dunsborough,1657986
Irymple,109
Red Cliffs,1004
Bannockburn,533292
Glenbrook,52869
Smithfield Heights,137033
Sarina,2315
Byron Bay,22798
Wonthaggi,123905
Ocean Shores,7645
Berri,81766
Howard Springs,82511
Tannum Sands,22531
Victor Harbor,879909
Ingham,341130
Manjimup,63581
Carnarvon,10969
Smithton,26317
Narrogin,398010
Newman,34130
Merimbula,52213
Katanning,21037
Weipa,270192
Wallaroo,124
Central Coast,28675
Proserpine,5713
Port Douglas,19108
Clare,491420
Tom Price,1003523
Charleville,49035
Cloncurry,31949
Bordertown,60364
Longreach,25001
Merredin,37931
Scottsdale,26245
Bourke,638255
Exmouth,1059
Queenstown,38607
Wagin,178222
Kingston South East,2491
Tumby Bay,702682
Kalbarri,128783
Port Denison,12519
Penola,100511
Streaky Bay,1612
Halls Creek,65698
Peterborough,108158
Ouyen,27028
Katherine,143581
Barcaldine,248
Cowell,129836
Meningie,40061
Hughenden,38253
Meekatharra,394360
Yulara,57934
Wyndham,66559
Roebourne,70459
Bicheno,3787911
Winton,94960
Oatlands,418269
Leonora,10143
Gingin,56226
Wilcannia,30178
Onslow,942368
Laverton,18202
Morawa,20045
Southern Cross,192347
Norseman,230600
Ravensthorpe,611008
Eidsvold,33753
Pannawonica,581
Kimba,790459
Mount Magnet,66814
Three Springs,5829
Theodore,59577
Karumba,4065
Andamooka,12261
Georgetown,61569
Boulia,80424
Adelaide River,56559
Burketown,79119
Ivanhoe,965208
Thargomindah,11399
Pine Creek,36819
Camooweal,55480
Birdsville,11225
Bedourie,598
Windorah,766
Kingoonya,25634
Yanchep,657121
Stanthorpe,68755
Bullsbrook,11876
McMinns Lagoon,541726
Ceduna,347341
Quilpie,37120
Woomera,62482
Vienna,43191
Graz,158412
Linz,12271
Salzburg,61879
Innsbruck,10207
Klagenfurt,33472
Bregenz,26484
Mödling,108681
Hall in Tirol,1423690
Eisenstadt,0
Sankt Pölten,49
Wels,48898
Dornbirn,403175
Wiener Neustadt,132862
Steyr,89026
Leonding,33374
Klosterneuburg,34185
Traun,121450
Wolfsberg,2702
Krems an der Donau,383282
Leoben,3908214
Amstetten,478964
Lustenau,75693
Kapfenberg,63
Hallein,707
Kufstein,80513
Traiskirchen,36242
Schwechat,2320818
Stockerau,23609
Braunau am Inn,18859
Hohenems,42833
Saalfelden am Steinernen Meer,106888
Ansfelden,618
Bruck an der Mur,1036
Perchtoldsdorf,33726
Telfs,4558
Spittal an der Drau,126622
Bludenz,194
Ternitz,35512
Wörgl,183397
Feldkirchen,1122711
Korneuburg,4293
Hard,8455
Bad Ischl,5561
Marchtrenk,153456
Schwaz,605852
Feldbach,3939
Knittelfeld,13
Neunkirchen,103
Brunn am Gebirge,36
Gmunden,38405
Vöcklabruck,16517
Sankt Veit an der Glan,1745
Leibnitz,8156
Lienz,131874
Rankweil,2431
Ried im Innkreis,275
Enns,2975
Götzis,41075
Bad Vöslau,147
Weiz,803387
Gänserndorf,7767
Hollabrunn,188
Deutschlandsberg,156176
Mistelbach,40207
Gerasdorf bei Wien,76099
Waidhofen an der Ybbs,752069
Sankt Johann im Pongau,36076
Groß-Enzersdorf,1317
Trofaiach,1612
Ebreichsdorf,1314
Gleisdorf,286111
Völkermarkt,38914
Wiener Neudorf,187342
Zwettl,10442
Strasshof an der Nordbahn,36944
Lauterach,11836
Bischofshofen,14522
Imst,31954
Maria Enzersdorf,68159
Köflach,58300
Rum,1051
Laakirchen,39618
Judenburg,9650
Sankt Andrä,52030
Purkersdorf,192012
Zell am See,1380178
Altmünster,742910
Guntramsdorf,15741
Voitsberg,386
Attnang-Puchheim,371253
Sierning,69543
Sankt Johann in Tirol,3695
Sankt Valentin,81007
Wolfurt,1592
Velden am Wörthersee,86071
Engerwitzdorf,36103
Deutsch-Wagram,1407
Langenzersdorf,86984
Mürzzuschlag,284431
Stainz,12307
Fürstenfeld,4493
Perg,335417
Wattens,726
Freistadt,937
Neulengbach,573
Kitzbühel,42452
Höchst,71461
Neusiedl am See,24285
Zirl,1983
Seiersberg,3256
Liezen,33380
Bruck an der Leitha,23757
Landeck,20779
Pasching,35527
Kindberg,14663
Gratkorn,60949
Sankt Andrä vor dem Hagenthale,315331
Kottingbrunn,20408
Zeltweg,47084
Herzogenburg,2546821
Völs,36809
Altach,457892
Fohnsdorf,2470872
Mattighofen,52448
Oberwart,23062
Ebensee,57349
Gallneukirchen,146435
Langenlois,34623
Pressbaum,87825
Vösendorf,131775
Sieghartskirchen,205901
Vorchdorf,124799
Mattersburg,43770
Jenbach,20235
Strasswalchen,1401
Grödig,44045
Fehring,21427
Himberg,48141
Bad Goisern,73224
Kuchl,21641
Kalsdorf bei Graz,6194
Wolkersdorf im Weinviertel,21278
Hitzendorf,38257
Absam,15693
Pottendorf,35855
Ferlach,76741
Arnoldstein,30749
Feldkirchen bei Graz,18310
Eugendorf,7542
Oberndorf bei Salzburg,55044
Hörbranz,341187
Bad Hofgastein,44969
Hartberg,425
Garsten,127867
Hainburg an der Donau,102595
Reutte,876601
Eggersdorf bei Graz,59532
Asten,112748
Kremsmünster,31500
Frohnleiten,833907
Wilhelmsburg,39871
Horn,76349
Schladming,38464
Neuhofen an der Krems,470685
Seeboden,26029
Eibiswald,30816
Neumarkt am Wallersee,135580
Traismauer,51
Laa an der Thaya,775709
Hörsching,13101
Axams,714616
Markt Sankt Florian,8450
Wagna,27651
Lochau,69495
Nenzing,5692920
Unterpremstätten,67551
Kirchbichl,47843
Gloggnitz,50144
Gunskirchen,289019
Pöllau,102468
Gnas,13478
Wildon,11789
Wilhering,459343
Alkoven,706559
Breitenfurth bei Wien,401332
Thalgau,284159
Timelkam,83306
Pinkafeld,20176
Micheldorf in Oberösterreich,43810
Eberndorf,33835
Radenthein,9098
Ybbs an der Donau,52271
Paternion,566129
Abtenau,249892
Thalheim bei Wels,991372
Leopoldsdorf,48238
Fischamend,4835
Wernberg,1555284
Tamsweg,600767
Melk,317407
Bergheim,605601
Ebbs,8868
Hopfgarten im Brixental,3013
Schwertberg,11659
Elsbethen,13577
Haag,111718
Spielberg bei Knittelfeld,20
Waidhofen an der Thaya,24506
Lenzing,20877
Gmünd,33434
Poysdorf,1170396
Lieboch,268959
Sollenau,112926
Feldkirchen an der Donau,51222
Schrems,68229
Pregarten,21215
Zistersdorf,4746
Bad Gleichenberg,2865
Sankt Ruprecht an der Raab,58466
Grieskirchen,7736
Schärding,62377
Mittersill,62232
Bad Hall,12162
Ohlsdorf,223304
Stadl-Paura,1105
Pettenbach,323748
Krieglach,2181
Andorf,128
Kirchberg in Tirol,98650
Rottenmann,1015634
Gramastetten,202821
Sankt Peter in der Au Markt,5580
Böheimkirchen,2100183
Vomp,1293
Admont,257666
Hafendorf,3164
Baku,76
Sumqayıt,117676
Gəncə,265952
Mingəçevir,271882
Xırdalan,803694
Naxçıvan,24556
Şəki,60703
Yevlax,1001154
M.Ə. Rəsulzadə,109869
Lənkəran,16978
Şəmkir,122507
Xaçmaz,183
Ağcabədi,173
Bərdə,127
Göyçay,5497
Zaqatala,30880
İmişli,43111
Salyan,29737
Ağdaş,124278
Cəlilabad,648
Hacı Zeynalabdin,56083
Biləsuvar,47168
Hacıqabul,139242
Quba,739995
İsmayıllı,1100972
Ağsu,3309
Ağstafa,7244
Əhmədli,16354
Siyəzən,452777
Sabirabad,47318
Saatlı,536274
Füzuli,31602
Astara,200632
Kürdəmir,35516
Göygöl,44061
Masallı,99200
Neftçala,41618
Qusar,107345
Tovuz,72803
Tərtər,45353
Beyləqan,197812
Qax,514862
Daşkəsən,326342
Ordubad,1084380
Naftalan,14067
Lerik,1202231
Zərdab,47054
Balakən,57180
Qobustan,473326
Yardımlı,269732
Goranboy,359766
Oğuz,77295
Cəbrayıl,76767
Qubadlı,2948
Gədəbəy,44275
Şuşa,200
Ağdam,37663
Laçın,101900
Xocalı,85091
Heydərabad,138485
Ucar,249918
Qazax,559795
Şərur,338377
Qəbələ,32140
Samux,11777
Dəvəçi,18
Qıvraq,369318
Kəlbəcər,1616
Xocavənd,69056
Şahbuz,43471
Xızı,26752
Qaraçuxur,933848
Şirvan,0
Xankəndi,13
Maştağa,24901
Qəzyan,152428
Lökbatan,151743
Buzovna,265627
Əmircan,1074821
Şamaxı,855766
Corat,62208
Pirallahı,77912
Ələt,228358
Culfa,102930
Qazmalar,93655
Xudat,29117
Qovlar,40687
Göytəpə,283405
Aşağı Ayıblı,98315
Liman,2491
Ağdərə,1005
Kiş,4
Babək,437192
Nassau,25
Freeport City,43483
Marsh Harbour,38148
Manama,22933
Al Muḩarraq,64536
Madīnat Ḩamad,5416
Madīnat ‘Īsá,64187
Dhaka,43761
Chattogram,963699
Khulna,130258
Sylhet,3241240
Rājshāhi,62388
Mymensingh,56591
Barishal,46285
Comilla,62947
Rangpur,234312
Brāhmanbāria,232255
Jessore,14810
Nārāyanganj,615
Saidpur,883
Narsingdi,2088
Tāngāil,253
Jamālpur,4992
Nawābganj,541
Pābna,8268
Harinākunda,1024
Bridgetown,224818
Minsk,14634
Homyel’,39073
Vitsyebsk,315410
Mahilyow,2411
Hrodna,153662
Brest,30895
Babruysk,75068
Baranavichy,25397
Horad Barysaw,752
Pinsk,592651
Orsha,124162
Mazyr,1915
Lida,54631
Salihorsk,251285
Navapolatsk,34567
Maladzyechna,76708
Polatsk,89005
Svyetlahorsk,68074
Slutsk,25091
